slug,market,sport,name,short_name,address,city,state,postal_code,latitude,longitude,access_type,setting,court_count,launch_reason,launch_priority,verification_status,source_tier,source_url,geocode_source,geocode_query,geocode_display_name,detection_source_id,detection_distance_m,detection_city,satellite_match_status
los-angeles-basketball-rancho-cienega,Los Angeles,basketball,Rancho Cienega Sports Complex,Rancho Cienega,5001 Obama Blvd,Los Angeles,CA,90016,34.0229782,-118.3514764,public_free,mixed,,community_hub,82,source_verified,official,https://www.laparks.org/reccenter/rancho-cienega,OpenStreetMap Nominatim,"5001 Obama Blvd, Los Angeles, CA 90016","Michelle and Barack Obama Sports Complex, 5001, Obama Boulevard, Baldwin Hills, West Adams, Los Angeles, Los Angeles County, California, 90016, United States",,,,none
los-angeles-pickleball-plummer-park,Los Angeles,pickleball,Plummer Park Pickleball Courts,Plummer Park,7377 Santa Monica Blvd,West Hollywood,CA,90046,34.0906544,-118.3506583,public_free,outdoor,,open_play_anchor,92,source_verified,official,https://www.weho.org/community/recreation-services/parks/plummer-park,OpenStreetMap Nominatim,"7377 Santa Monica Blvd, West Hollywood, CA 90046","7377, Santa Monica Boulevard, West Hollywood, Los Angeles County, California, 90046, United States",,,,not_applicable
los-angeles-pickleball-memorial-park,Los Angeles,pickleball,Memorial Park Pickleball Courts,Memorial Park,1401 Olympic Blvd,Santa Monica,CA,90404,34.019769,-118.480427,public_free,outdoor,,open_play_anchor,92,source_verified,official,https://www.santamonica.gov/places/parks/memorial-park,OpenStreetMap Nominatim,"1401 Olympic Blvd, Santa Monica, CA 90404","1401, Olympic Boulevard, Santa Monica, Los Angeles County, California, 90404, United States",,,,not_applicable
los-angeles-pickleball-mar-vista,Los Angeles,pickleball,Mar Vista Recreation Center,Mar Vista,11430 Woodbine St,Los Angeles,CA,90066,34.0178894,-118.4293305,public_free,outdoor,,community_hub,82,source_verified,official,https://www.laparks.org/reccenter/mar-vista,OpenStreetMap Nominatim,"11430 Woodbine St, Los Angeles, CA 90066","11430, Woodbine Street, Westdale, Mar Vista, Los Angeles, Los Angeles County, California, 90066, United States",,,,not_applicable
los-angeles-pickleball-cheviot-hills,Los Angeles,pickleball,Cheviot Hills Recreation Center,Cheviot Hills,2551 Motor Ave,Los Angeles,CA,90064,34.0468111,-118.4081458,public_free,outdoor,,neighborhood_hub,78,source_verified,official,https://www.laparks.org/reccenter/cheviot-hills,OpenStreetMap Nominatim,"2551 Motor Ave, Los Angeles, CA 90064","2551, Motor Avenue, Cheviot Hills, Pico-Robertson, Los Angeles, Los Angeles County, California, 90064, United States",,,,not_applicable
houston-basketball-fonde-rec,Houston,basketball,Fonde Recreation Center,Fonde Rec,110 Sabine St,Houston,TX,77007,29.7629552,-95.3750088,public_free,indoor,,iconic,100,source_verified,official,https://www.houstontx.gov/parks/communitycenters/fondecc.html,OpenStreetMap Nominatim,"110 Sabine St, Houston, TX 77007","Fonde Community Center, 110, Sabine Street, Washington Avenue Coalition / Memorial Park, Old Sixth Ward, Houston, Harris County, Texas, 77007, United States",984550959,421.4,Houston,review
houston-basketball-emancipation,Houston,basketball,Emancipation Park,Emancipation,3018 Emancipation Ave,Houston,TX,77004,29.7356906,-95.3648855,public_free,outdoor,,community_hub,82,source_verified,venue,https://epconservancy.org/,OpenStreetMap Nominatim,"Emancipation Park, 3018 Emancipation Ave, Houston, TX 77004","Emancipation Community Center, 3018, Emancipation Avenue, Third Ward, Houston, Harris County, Texas, 77004, United States",398628438,38.8,Houston,strong
houston-basketball-macgregor,Houston,basketball,MacGregor Park,MacGregor,5225 Calhoun Rd,Houston,TX,77021,29.710711,-95.3415957,public_free,outdoor,,pickup_anchor,90,source_verified,official,https://www.houstontx.gov/parks/parksites/macgregorpark.html,OpenStreetMap Nominatim,"5225 Calhoun Rd, Houston, TX 77021","5225, Calhoun Road, University Oaks, MacGregor, Houston, Harris County, Texas, 77021, United States",,,,none
houston-basketball-root-square,Houston,basketball,Root Memorial Square,Root Square,1400 Clay St,Houston,TX,77002,29.751741,-95.363759,public_free,outdoor,1,downtown_anchor,74,source_verified,official,https://www.houstontx.gov/parks/parksites/rootmemorialsquare.html,OpenStreetMap Nominatim,"1400 Clay St, Houston, TX 77002","1400, Clay Street, Downtown, Houston, Harris County, Texas, 77002, United States",263245741,55,Houston,strong
houston-pickleball-houston-pickleball,Houston,pickleball,Houston Pickleball Center,Houston Pickleball,12233 Robin Blvd,Houston,TX,77045,29.6338243,-95.406236,private_paid,indoor,11,open_play_anchor,92,source_verified,venue,https://houstonpickleballcenter.com/,OpenStreetMap Nominatim,"Houston Pickleball Center, 12233 Robin Blvd, Houston, TX 77045","Houston Pickleball Center, 12233, Robin Boulevard, Houston, Harris County, Texas, 77045, United States",,,,not_applicable
houston-pickleball-bumpy-pickle,Houston,pickleball,Bumpy Pickle,Bumpy Pickle,554 Lockwood Dr,Houston,TX,77011,29.7525981,-95.3226971,private_paid,outdoor,9,open_play_anchor,92,source_verified,venue,https://bumpypickle.com/open-play,OpenStreetMap Nominatim,"554 Lockwood Dr, Houston, TX 77011","554, Lockwood Drive, Second Ward, Houston, Harris County, Texas, 77011, United States",,,,not_applicable
houston-pickleball-east-river-9,Houston,pickleball,East River 9,East River 9,65 Hirsch Rd,Houston,TX,77020,29.7617406,-95.3317626,private_paid,outdoor,,social_anchor,86,source_verified,venue,https://eastriver9.com/pickleball/,OpenStreetMap Nominatim,"East River 9, 65 Hirsch Rd, Houston, TX 77020","East River 9, 65, Hirsch Road, Fifth Ward, Houston, Harris County, Texas, 77020, United States",,,,not_applicable
houston-pickleball-jaycee-park,Houston,pickleball,Jaycee Park Pickleball Courts,Jaycee Park,1300 Seamist Dr,Houston,TX,77008,29.793367,-95.437836,public_free,outdoor,2,community_hub,82,source_verified,official,https://cp4.harriscountytx.gov/Explore/Parks/Precinct-4-Parks/jaycee,OpenStreetMap Nominatim,"1300 Seamist Dr, Houston, TX 77008","1300, Seamist Drive, Houston, Harris County, Texas, 77008, United States",,,,not_applicable
austin-basketball-hancock,Austin,basketball,Hancock Recreation Center,Hancock,811 E 41st St,Austin,TX,78751,30.2990529,-97.7245946,public_free,outdoor,2,pickup_anchor,90,source_verified,community,https://austinparks.org/blog/basketball-courts-austin-texas/,OpenStreetMap Nominatim,"Hancock Recreation Center, 811 E 41st St, Austin, TX 78751","Hancock Recreation Center, 811, East 41st Street, Country Club Park, Austin, Travis County, Texas, 78751, United States",900177898,33.6,Austin,strong
austin-basketball-givens,Austin,basketball,Givens Recreation Center,Givens,3811 E 12th St,Austin,TX,78721,30.2768,-97.6902958,public_free,mixed,,community_hub,82,source_verified,community,https://austinparks.org/blog/basketball-courts-austin-texas/,OpenStreetMap Nominatim,"Givens Recreation Center, 3811 E 12th St, Austin, TX 78721","Givens Recreation Center, 3811, East 12th Street, Austin, Travis County, Texas, 78721, United States",583734035,233.5,Austin,review
austin-basketball-pan-am,Austin,basketball,Pan American Recreation Center,Pan Am,2100 E 3rd St,Austin,TX,78702,30.2581662,-97.7207643,public_free,mixed,,community_hub,82,source_verified,community,https://austinparks.org/blog/basketball-courts-austin-texas/,OpenStreetMap Nominatim,"2100 E 3rd St, Austin, TX 78702","Pan AM Recreation Center, 2100, East 3rd Street, Holly, Austin, Travis County, Texas, 78702, United States",1259442487,315,Austin,review
austin-basketball-garrison,Austin,basketball,Garrison District Park,Garrison,6001 Manchaca Rd,Austin,TX,78745,30.1685841,-97.8306185,public_free,outdoor,,neighborhood_hub,78,source_verified,community,https://austinparks.org/blog/basketball-courts-austin-texas/,OpenStreetMap Nominatim,"6001 Manchaca Rd, Austin, TX 78745","Old Manchaca Road, Ford Oaks, Austin, Travis County, Texas, 78748, United States",,,,none
austin-pickleball-pan-am,Austin,pickleball,Pan American Pickleball Courts,Pan Am,2100 E 3rd St,Austin,TX,78702,30.2581662,-97.7207643,public_free,outdoor,6,open_play_anchor,92,source_verified,official,https://www.austintexas.gov/parks/programs/pickleball,OpenStreetMap Nominatim,"2100 E 3rd St, Austin, TX 78702","Pan AM Recreation Center, 2100, East 3rd Street, Holly, Austin, Travis County, Texas, 78702, United States",,,,not_applicable
austin-pickleball-atpc,Austin,pickleball,Austin Tennis & Pickleball Center,ATPC,7800 Johnny Morris Rd,Austin,TX,78724,30.312221,-97.638456,public_paid,outdoor,8,open_play_anchor,92,source_verified,official,https://www.austintexas.gov/department/austin-tennis-center,OpenStreetMap Nominatim,"7800 Johnny Morris Rd, Austin, TX 78724","7800, Johnny Morris Road, Austin, Travis County, Texas, 78724, United States",,,,not_applicable
austin-pickleball-patterson-park,Austin,pickleball,Patterson Neighborhood Park,Patterson Park,4200 Brookview Rd,Austin,TX,78722,30.2966713,-97.7102822,public_free,outdoor,2,neighborhood_hub,78,source_verified,official,https://www.austintexas.gov/parks/programs/pickleball,OpenStreetMap Nominatim,"4200 Brookview Rd, Austin, TX 78722","4200, Brookview Road, Delwood, Austin, Travis County, Texas, 78722, United States",,,,not_applicable
austin-pickleball-dittmar,Austin,pickleball,Dittmar Recreation Center,Dittmar,1009 W Dittmar Rd,Austin,TX,78745,30.1858789,-97.8007033,public_free,indoor,4,open_play_anchor,92,source_verified,official,https://www.austintexas.gov/parks/programs/pickleball,OpenStreetMap Nominatim,"1009 W Dittmar Rd, Austin, TX 78745","1009, West Dittmar Road, Austin, Travis County, Texas, 78745, United States",,,,not_applicable
denver-basketball-mestizo-curtis,Denver,basketball,Mestizo-Curtis Park,Mestizo-Curtis,3100 Champa St,Denver,CO,80205,39.760575,-104.975633,public_free,outdoor,,community_hub,82,source_verified,official,https://www.denvergov.org/Government/Agencies-Departments-Offices/Agencies-Departments-Offices-Directory/Parks-Recreation/Parks/Urban-Parks/Mestizo-Curtis-Park,OpenStreetMap Nominatim,"3100 Champa St, Denver, CO 80205","3100, Champa Street, Five Points, Denver, Colorado, 80205, United States",25680128,210.8,Denver,nearby
denver-basketball-la-alma-lincoln,Denver,basketball,La Alma-Lincoln Park,La Alma-Lincoln,1325 W 11th Ave,Denver,CO,80204,39.734759,-105.0044547,public_free,outdoor,,community_hub,82,source_verified,official,https://www.denvergov.org/Government/Agencies-Departments-Offices/Agencies-Departments-Offices-Directory/Parks-Recreation/Parks/Urban-Parks/La-Alma-Lincoln-Park,OpenStreetMap Nominatim,"1325 W 11th Ave, Denver, CO 80204","La Alma Recreation Center, 1325, West 11th Avenue, La Alma–Lincoln Park, Denver, Colorado, 80204, United States",114290702,26.8,Denver,strong
denver-basketball-city-park,Denver,basketball,City Park Basketball Courts,City Park,1700 N York St,Denver,CO,80206,39.743383,-104.959677,public_free,outdoor,,city_anchor,76,source_verified,official,https://www.denvergov.org/Government/Agencies-Departments-Offices/Agencies-Departments-Offices-Directory/Parks-Recreation/Parks/Urban-Parks/City-Park,OpenStreetMap Nominatim,"1700 N York St, Denver, CO 80206","1700, North York Street, Denver, Colorado, 80206, United States",323175182,499.1,Denver,review
denver-basketball-washington-park,Denver,basketball,Washington Park Basketball Courts,Washington Park,701 S Franklin St,Denver,CO,80209,39.7026223,-104.9705739,public_free,mixed,,city_anchor,76,source_verified,official,https://www.denvergov.org/Government/Agencies-Departments-Offices/Agencies-Departments-Offices-Directory/Parks-Recreation/Parks/Urban-Parks/Washington-Park,OpenStreetMap Nominatim,"701 S Franklin St, Denver, CO 80209","Washington Park Recreation Center, 701, South Franklin Street, Denver, Colorado, 80209, United States",1137052158,221.6,Denver,review
denver-pickleball-gates,Denver,pickleball,Gates Tennis Center,Gates,3300 E Bayaud Ave,Denver,CO,80209,39.7139193,-104.9483282,public_paid,outdoor,14,open_play_anchor,92,source_verified,venue,https://www.gatestenniscenter.info/,OpenStreetMap Nominatim,"Gates Tennis Center, 3300 E Bayaud Ave, Denver, CO 80209","Gates Tennis Center, 3300, East Bayaud Avenue, Denver, Colorado, 80209, United States",,,,not_applicable
denver-pickleball-mlk-park,Denver,pickleball,Martin Luther King Jr. Park Courts,MLK Park,3880 Newport St,Denver,CO,80207,39.7707141,-104.9092894,public_free,outdoor,10,open_play_anchor,92,source_verified,community,https://dnvrpickleball.com/denver/courts,OpenStreetMap Nominatim,"3880 Newport St, Denver, CO 80207","Martin Luther King Jr Recreation Center, 3880, North Newport Street, Denver, Colorado, 80207, United States",,,,not_applicable
denver-pickleball-eisenhower-park,Denver,pickleball,Mamie D. Eisenhower Park Courts,Eisenhower Park,4300 E Dartmouth Ave,Denver,CO,80222,39.6596571,-104.937437,public_free,mixed,7,community_hub,82,source_verified,community,https://dnvrpickleball.com/denver/courts,OpenStreetMap Nominatim,"4300 E Dartmouth Ave, Denver, CO 80222","Eisenhower Recreation Center, 4300, East Dartmouth Avenue, University Hills, Denver, Colorado, 80222, United States",,,,not_applicable
denver-pickleball-huston-lake,Denver,pickleball,Huston Lake Park Courts,Huston Lake,910 S Bryant St,Denver,CO,80219,39.700157,-105.0179623,public_free,outdoor,4,open_play_anchor,92,source_verified,community,https://dnvrpickleball.com/denver/courts,OpenStreetMap Nominatim,"910 S Bryant St, Denver, CO 80219","910, South Bryant Street, Athmar Park, Denver, Colorado, 80219, United States",,,,not_applicable
